#1nuNodes, #2throughput, #3stdThroughput, #4losses, #5stdThroughput
1 2.130000e+07 0.000000e+00 1.449250e-03 3.891241e-04
2 2.150000e+07 0.000000e+00 1.166342e-01 1.088415e-03
3 2.122250e+07 2.986079e+04 1.867186e-01 1.478725e-03
4 2.088750e+07 3.774917e+04 2.358509e-01 8.536420e-04
5 2.049250e+07 2.217356e+04 2.753649e-01 9.703979e-04
6 2.009750e+07 4.031129e+04 3.082812e-01 1.119026e-03
7 1.972000e+07 2.708013e+04 3.369287e-01 1.017856e-03
8 1.936750e+07 3.774917e+04 3.615113e-01 1.161483e-03
9 1.903250e+07 6.652067e+04 3.835361e-01 1.152514e-03
10 1.876750e+07 4.924429e+04 4.026408e-01 1.112779e-03
11 1.854500e+07 4.203173e+04 4.187214e-01 1.547928e-03
12 1.833500e+07 4.123106e+04 4.328618e-01 1.249984e-03
13 1.814475e+07 1.723127e+04 4.456526e-01 8.082906e-04
14 1.796250e+07 1.740690e+04 4.586641e-01 5.625577e-04
15 1.779025e+07 4.233497e+04 4.692880e-01 1.750067e-03
16 1.760850e+07 3.487597e+04 4.810270e-01 2.491015e-03
17 1.749175e+07 8.015610e+03 4.879648e-01 4.697130e-04
18 1.738475e+07 5.032809e+04 4.953300e-01 1.776727e-03
19 1.725975e+07 2.780138e+04 5.040382e-01 1.226780e-03
20 1.713700e+07 2.901724e+04 5.105826e-01 1.530406e-03
21 1.706500e+07 2.118175e+04 5.172753e-01 7.953673e-04
22 1.696625e+07 1.787689e+04 5.235067e-01 1.267901e-03
23 1.685850e+07 4.330127e+04 5.296912e-01 1.371634e-03
24 1.679875e+07 3.115954e+04 5.346317e-01 1.360954e-03
25 1.673900e+07 2.281812e+04 5.389203e-01 9.581601e-04
