#1nuNodes, #2throughput, #3stdThroughput, #4losses, #5stdThroughput
1 2.082500e+07 1.500000e+05 2.343000e-03 1.503942e-03
2 2.317500e+07 5.000000e+04 4.697375e-03 9.109444e-04
3 2.397500e+07 4.795832e+04 7.976583e-03 7.577891e-04
4 2.386750e+07 9.215024e+04 2.048150e-02 2.516552e-03
5 2.381750e+07 6.994045e+04 3.096865e-02 2.288570e-03
6 2.372000e+07 7.874008e+04 4.213488e-02 3.587335e-03
7 2.353750e+07 5.795113e+04 5.442307e-02 2.330802e-03
8 2.344000e+07 4.396969e+04 6.507591e-02 2.112494e-03
9 2.320550e+07 5.237366e+04 8.358214e-02 2.666777e-03
10 2.310950e+07 8.534440e+04 1.098440e-01 1.325107e-02
11 2.296575e+07 7.136934e+04 1.196758e-01 1.278714e-02
12 2.291025e+07 2.171597e+04 1.216864e-01 1.125851e-02
13 2.273125e+07 4.771006e+04 1.335788e-01 1.018601e-02
14 2.262350e+07 7.882681e+04 1.362041e-01 1.204087e-02
15 2.260675e+07 2.860507e+04 1.403527e-01 9.019116e-03
16 2.242775e+07 1.526161e+04 1.534162e-01 8.678271e-03
17 2.233700e+07 3.521363e+04 1.573940e-01 7.639941e-03
18 2.222775e+07 1.345053e+04 1.635534e-01 5.633052e-03
19 2.211450e+07 5.620498e+04 1.762687e-01 8.928445e-03
20 2.198325e+07 7.899525e+04 1.775757e-01 7.870369e-03
21 2.184175e+07 3.547182e+04 1.899751e-01 7.434929e-03
22 2.178850e+07 3.550117e+04 1.910780e-01 6.446162e-03
23 2.170375e+07 8.499951e+04 1.969263e-01 8.095205e-03
24 2.160200e+07 4.327432e+04 2.012737e-01 5.424446e-03
25 2.146825e+07 8.869564e+04 2.094936e-01 4.882721e-03
